#SampleID	Dataset	FullName	Site	Condition
sample_16	1	sample_16	Ocean	sample_16
sample_17	2	sample_17	Ocean	sample_17
sample_21	3	sample_21	Ocean	sample_21
sample_2	4	sample_2	Ocean	sample_2
sample_3	5	sample_3	Ocean	sample_3
sample_5	6	sample_5	Ocean	sample_5
sample_8	7	sample_8	Ocean	sample_8
sample_9	8	sample_9	Ocean	sample_9
